,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0496,0,0,0,0,0,1,8,6,20,1,9,1,1,1,10,2,1,6,2,3,1,5,1,10,2,0,0,2,1,0,0,0,1,0,0,2,5,4,10,0,0,5,1,1,3,24,1,4,0,4,4,3,0,5,1,0,1,1,6,9,2,5,6,2,2,3,1,4,22,2,2,2,1,1,4,2,2,0,5,2,0,0,0,1,2,2,23,7,1,3,2,1,4,1,0,0,1,1,1,1,11,8,0,2,0,0,9,0,2,2,2,9,1,3,1,6,1,1,4,1
CELL0497,3,10,14,3,1,1,2,27,1,1,26,2,4,3,0,3,12,10,3,2,3,5,8,7,2,3,11,1,1,3,3,4,2,2,0,2,47,3,97,3,0,1,8,10,1,13,18,4,0,6,4,2,13,0,4,0,0,1,2,4,0,0,3,7,3,1,5,2,4,2,1,1,7,1,109,4,2,75,2,3,0,9,8,1,7,49,2,1,9,9,3,16,12,0,0,2,11,3,1,5,10,0,19,19,3,1,6,2,8,71,3,10,1,3,0,4,2,1,30,6
CELL0498,1,3,1,1,2,6,4,2,6,3,3,0,2,0,0,2,3,4,5,2,1,2,5,5,2,1,0,1,0,6,0,0,0,1,1,4,12,1,8,1,3,1,3,2,4,1,9,2,2,4,4,2,1,0,0,10,3,1,2,2,2,1,3,2,4,1,12,1,1,0,6,1,0,1,1,2,14,0,10,1,1,4,2,0,3,2,19,7,0,4,1,1,48,1,1,0,9,2,0,2,1,6,0,1,2,6,1,1,4,0,2,4,10,4,3,5,2,6,1,1
CELL0499,16,40,2,1,0,1,29,2,1,4,4,19,82,4,2,7,0,3,2,8,2,10,6,10,13,7,7,1,3,9,4,0,1,5,7,3,0,0,0,2,643,3,2,4,3,8,0,7,3,3,22,9,71,13,4,1,115,4,4,548,684,3,17,7,3,9,3,7,274,8,0,0,9,18,0,8,6,152,2,4,1,15,12,13,6,0,3,3,4,16,3,9,0,459,5,616,9,6,1,3,7,4,24,24,4,2,103,2,14,0,12,12,0,7,14,49,3,9,1,3
CELL0500,0,4,4,1,9,8,7,2,0,2,0,2,3,0,4,0,2,6,4,2,1,4,3,6,0,1,5,1,1,3,3,3,2,6,0,2,0,0,3,1,0,3,12,0,2,2,0,9,2,3,1,8,366,1,4,3,1,0,0,8,5,1,0,0,2,0,3,0,4,1,3,4,20,0,6,3,9,133,1,3,0,5,0,2,6,27,0,3,0,11,1,3,3,4,4,1,6,2,0,2,5,0,7,15,3,1,2,1,2,0,3,6,1,5,10,2,1,14,16,4
CELL0501,9,1,6,12,0,2,0,3,11,4,20,0,3,1,2,0,62,4,3,0,0,7,1,5,0,4,2,1,1,1,1,13,2,2,0,4,351,4,20,2,0,4,2,0,8,1,1,1,1,12,17,1,1,3,0,7,4,1,9,7,0,14,0,21,4,1,13,4,4,5,5,2,1,0,105,1,377,2,42,0,1,4,0,2,2,1,33,5,3,0,4,0,72,0,1,0,4,0,2,1,0,323,0,0,1,3,1,6,3,6,3,10,3,2,1,0,1,5,2,3
CELL0502,1,1,3,15,2,7,3,3,9,4,7,1,4,2,7,3,40,4,4,2,3,6,3,8,1,6,1,1,0,3,1,3,0,3,7,4,46,1,67,2,1,0,5,3,10,5,3,2,5,1,5,1,0,8,4,23,2,3,6,5,0,8,3,6,3,1,12,2,0,4,3,2,1,1,41,5,10,1,18,5,0,3,5,5,2,8,13,0,4,2,1,1,39,1,0,1,2,2,3,4,4,1,1,1,3,0,1,1,3,3,2,10,10,7,5,4,5,10,10,4
CELL0503,3,4,0,7,21,6,2,18,1,1,0,3,5,0,1,0,0,2,1,0,5,3,2,4,5,1,6,1,1,6,2,7,2,1,3,4,0,5,1,3,9,1,0,2,2,2,1,5,0,6,1,1,70,3,2,0,0,1,8,23,3,1,3,7,7,0,1,2,7,4,0,9,2,1,1,1,3,213,0,2,3,2,3,2,1,31,1,2,2,15,1,10,2,3,0,13,5,4,0,2,6,0,24,27,1,1,4,5,4,5,3,7,0,5,1,5,0,6,42,5
CELL0504,6,8,6,1,0,9,4,0,1,3,16,0,39,1,2,6,0,2,0,0,1,6,1,5,4,5,1,1,4,1,1,1,3,7,1,2,0,2,0,0,32,2,9,3,1,3,0,2,0,0,5,2,318,1,0,1,30,5,4,57,75,1,0,11,3,2,0,0,58,2,1,2,10,0,0,3,25,96,0,2,0,4,1,4,1,1,0,0,1,4,2,5,0,86,30,20,3,4,6,8,1,18,4,12,0,3,12,1,5,0,0,1,0,3,51,7,2,4,1,4
CELL0505,6,7,2,1,2,1,14,1,1,4,4,2,19,1,0,5,0,4,2,2,1,1,0,2,1,4,11,3,1,6,1,0,0,0,0,14,0,2,2,0,4,2,0,1,0,3,1,1,1,6,3,2,4,3,9,0,1,2,1,100,5,1,5,2,9,2,1,1,14,2,1,8,1,7,1,4,1,101,0,0,6,2,5,3,1,6,0,2,4,33,3,16,0,2,0,25,2,2,2,3,1,0,4,150,0,2,9,1,4,0,8,4,0,3,1,11,2,1,9,6
CELL0506,13,25,1,0,40,10,16,10,7,1,3,59,222,2,2,6,0,11,3,13,4,25,9,19,2,6,22,3,12,20,2,1,11,3,4,9,0,11,1,2,83,10,16,15,4,11,2,6,6,5,1,17,95,2,86,0,1,0,5,213,67,0,40,1,19,1,1,9,90,10,0,30,22,9,2,6,1,1192,1,6,0,18,9,8,2,65,1,6,6,130,8,65,0,113,0,1114,25,6,1,4,22,1,114,394,6,8,404,8,6,0,2,11,0,11,2,67,3,34,301,11
CELL0507,0,13,5,1,0,1,4,0,0,1,2,2,10,0,0,2,1,1,1,0,1,3,1,2,0,1,0,1,2,3,0,2,0,0,0,0,1,0,1,0,5,0,0,2,5,1,0,1,0,3,4,1,10,0,0,1,139,1,2,6,6,6,0,5,3,0,9,0,38,1,4,3,2,0,0,2,41,1,14,0,0,1,1,0,4,0,22,0,2,0,1,1,1,1,17,4,0,1,0,2,1,12,1,0,1,0,1,1,1,0,1,1,0,3,18,0,0,0,0,0
CELL0508,4,7,5,3,0,5,33,3,2,1,1,1,13,0,0,2,0,4,3,0,2,4,2,5,3,4,1,1,0,6,1,1,0,3,0,9,0,3,0,3,6,1,1,1,1,0,0,3,2,3,12,3,171,3,3,1,4,1,2,43,12,1,1,2,7,3,2,3,14,2,1,4,1,0,0,4,13,12,3,4,1,1,1,1,1,3,1,1,5,5,1,30,0,27,5,25,3,3,2,4,12,4,14,8,3,2,4,2,2,0,4,3,3,7,5,4,2,10,2,1
CELL0509,10,5,1,2,9,5,1,10,6,0,0,7,17,1,1,3,0,10,2,3,5,5,14,8,3,3,2,3,1,3,2,1,1,2,4,8,0,6,0,11,7,2,4,2,3,3,1,7,2,1,2,4,30,2,16,1,2,1,8,20,7,3,8,3,9,1,4,6,15,7,1,12,4,4,1,10,0,156,1,6,3,6,5,5,3,15,1,3,2,21,4,48,1,7,0,86,6,5,3,3,1,0,18,29,1,1,7,11,6,1,16,2,1,7,4,11,1,5,27,1
CELL0510,4,4,2,3,4,3,4,34,0,3,1,0,2,2,3,1,0,6,1,0,2,0,3,3,4,5,7,10,0,1,3,3,3,1,0,4,1,4,2,5,6,7,5,3,1,7,8,11,6,3,5,4,3,0,18,0,7,0,12,37,2,7,26,0,11,1,2,5,7,3,1,3,0,6,0,3,0,18,9,1,0,7,9,1,1,3,13,1,2,3,5,6,4,7,0,5,1,1,1,5,3,0,9,7,1,2,8,1,7,9,5,12,2,2,0,7,3,6,7,4
CELL0511,2,2,3,0,6,2,40,2,0,3,8,3,20,1,4,4,0,11,1,0,0,7,8,6,3,1,3,0,0,3,4,0,1,1,2,4,0,4,6,2,20,2,0,3,0,16,0,2,2,7,4,3,3,4,13,1,0,5,9,115,13,1,39,1,1,2,0,2,22,3,1,12,2,11,1,1,0,44,0,0,0,2,10,0,1,14,0,1,3,23,1,13,0,43,0,63,3,3,6,3,5,0,9,8,0,0,103,3,4,0,16,24,0,2,0,79,4,5,147,0
CELL0512,9,2,9,3,0,2,45,1,3,8,14,8,39,1,7,7,0,3,3,6,3,1,7,1,1,3,5,2,3,4,4,1,2,2,2,5,0,2,0,2,44,1,3,2,2,2,0,5,3,9,2,5,324,1,2,2,17,1,12,76,39,1,2,5,3,0,2,2,105,5,1,1,35,0,1,5,49,198,1,3,0,2,7,2,7,0,0,5,6,19,2,6,0,44,27,52,0,2,2,3,4,5,2,21,1,1,19,0,10,0,3,8,0,7,48,17,1,4,0,1
CELL0513,2,2,13,1,0,2,5,15,6,1,5,2,2,1,5,7,0,3,1,0,0,11,3,2,2,2,2,2,2,2,5,1,3,2,1,8,2,5,15,2,5,1,1,3,8,12,16,3,5,11,11,8,0,2,10,3,1,3,3,28,3,1,38,0,3,5,2,3,2,0,3,5,0,14,1,3,0,15,0,5,2,2,1,1,1,51,2,3,9,13,1,3,25,3,0,4,3,0,0,2,1,0,6,18,3,4,15,4,9,12,4,13,6,4,0,38,3,6,42,4
CELL0514,4,5,0,1,3,7,8,19,1,0,0,3,2,0,2,2,0,3,7,1,4,5,3,3,3,2,2,0,0,3,0,0,0,1,0,6,2,3,33,5,3,2,3,4,2,7,72,1,4,6,6,7,0,1,27,3,0,0,2,12,2,2,158,0,1,2,3,0,1,2,2,0,0,25,3,6,0,6,0,2,0,8,6,2,2,19,1,1,5,18,2,20,7,0,0,2,3,2,2,3,1,0,3,15,0,0,3,4,5,10,5,10,2,10,0,23,1,5,16,0
CELL0515,1,15,10,1,3,6,14,2,7,1,1,5,48,0,9,2,0,8,4,0,1,8,2,6,1,12,3,1,4,2,2,1,3,1,3,11,0,4,0,1,28,8,3,2,2,6,0,7,1,6,11,3,47,8,1,3,10,2,9,87,23,5,0,6,3,1,5,1,70,4,3,1,5,0,0,4,16,41,6,2,2,11,3,2,2,2,7,2,13,10,2,5,0,34,14,50,2,1,1,2,8,8,3,10,1,0,22,4,3,0,4,0,0,2,23,12,1,9,5,3
CELL0516,45,14,6,8,8,1,9,0,1,0,0,0,57,3,1,4,0,2,1,2,3,8,2,5,2,5,7,0,2,6,2,1,0,1,1,3,0,4,0,6,15,3,2,2,0,9,0,6,0,1,0,2,357,3,5,0,6,2,4,57,49,0,0,1,9,0,0,1,59,1,0,51,126,1,0,5,4,425,0,0,2,4,1,12,3,2,0,2,2,171,1,17,0,42,28,335,3,0,1,3,0,0,39,121,3,1,23,0,3,0,13,5,0,5,18,10,1,4,19,2
CELL0517,2,15,1,5,8,32,1,1,2,1,4,0,5,1,1,4,6,9,3,1,4,1,8,5,0,3,1,3,1,9,3,3,2,0,0,4,4,3,8,1,0,2,3,2,9,3,1,6,3,7,2,3,78,3,2,6,1,3,3,5,0,3,0,12,5,2,6,2,8,3,5,5,5,0,11,4,17,46,7,6,3,4,6,0,4,9,1,5,6,0,2,0,0,0,12,2,5,1,2,6,7,4,2,9,2,3,2,5,3,1,3,5,1,2,15,2,2,0,1,3
CELL0518,7,2,1,0,2,0,5,26,1,1,1,8,0,1,1,7,0,4,1,1,1,2,4,4,3,3,13,5,1,3,2,0,3,2,1,1,0,1,4,1,5,1,3,2,0,5,5,5,2,3,1,0,1,9,5,2,0,0,2,1,0,0,2,1,0,0,1,3,5,2,0,9,0,2,2,3,0,28,1,3,2,7,2,2,1,53,0,1,11,108,1,32,1,0,0,281,4,5,2,0,2,0,23,34,0,2,30,2,9,0,5,7,1,2,0,17,1,3,304,0
CELL0519,2,6,1,3,2,2,3,7,0,0,2,6,0,0,3,9,0,6,2,4,1,0,2,2,1,4,4,1,1,3,1,0,0,0,0,7,1,2,1,1,2,2,1,0,0,1,2,1,4,1,3,1,3,5,2,0,2,2,4,6,3,3,7,1,2,1,3,2,4,5,0,1,1,1,0,2,1,22,2,2,1,3,5,2,3,5,3,2,1,15,1,5,11,5,0,70,0,5,0,0,3,0,4,10,1,3,19,4,3,1,2,2,1,4,2,3,0,2,3,0
CELL0520,3,3,2,4,0,0,0,2,5,1,28,6,1,1,1,2,20,8,1,0,2,4,27,4,3,5,1,2,1,5,1,1,1,3,2,2,276,3,103,3,0,0,3,2,15,7,4,4,2,1,18,4,0,2,0,3,5,2,1,2,0,12,4,4,3,1,10,0,1,2,11,0,0,1,9,3,17,0,17,5,0,4,1,0,2,5,13,1,1,1,2,1,128,0,0,0,2,2,0,2,5,19,0,0,0,3,2,1,2,9,3,4,9,8,0,5,3,2,0,1
CELL0521,1,2,2,2,6,1,1,6,4,1,1,5,3,1,1,6,0,9,0,1,3,5,5,3,3,1,1,1,0,8,2,1,4,2,2,5,5,2,15,3,4,2,1,2,5,6,31,4,2,8,3,7,0,8,2,0,0,2,2,6,0,4,14,0,3,2,2,0,3,1,1,0,0,2,6,0,1,2,13,4,1,5,2,5,1,7,6,2,2,2,0,5,13,1,0,0,4,1,0,1,1,1,0,4,0,2,3,1,3,8,0,12,13,2,0,13,1,0,59,2
CELL0522,2,2,4,1,8,0,0,2,2,3,2,0,3,2,1,3,3,3,0,0,1,1,6,0,4,3,0,0,4,3,2,4,3,0,1,3,18,0,2,0,0,2,1,3,2,0,0,6,1,6,0,2,9,4,2,1,13,2,6,1,1,8,0,8,1,1,12,4,0,3,13,0,7,2,29,1,56,63,4,0,1,4,0,0,0,2,3,1,2,7,0,0,0,0,1,4,3,2,1,1,2,5,5,10,1,4,0,3,1,1,1,2,3,4,1,0,1,2,0,1
CELL0523,7,9,6,3,0,2,4,5,1,36,2,3,10,2,0,5,5,1,5,3,3,16,2,15,0,6,3,5,3,5,2,0,5,2,2,5,13,0,2,3,1,1,4,2,16,3,0,13,5,9,21,7,20,8,0,6,84,3,1,6,2,57,1,15,3,6,26,12,8,2,3,0,5,0,1,7,109,1,91,0,1,0,1,1,3,0,30,5,3,0,1,3,35,6,31,1,5,3,4,3,10,173,1,1,2,5,1,7,4,1,6,2,0,17,65,0,1,4,0,1
CELL0524,2,15,4,1,1,4,4,2,0,1,4,0,4,1,1,2,0,2,1,3,2,4,3,0,2,5,2,2,0,4,2,3,0,2,0,2,3,4,5,3,3,0,8,2,0,2,1,3,3,4,5,0,2,1,2,0,0,0,5,8,2,0,4,1,1,2,0,2,1,4,1,0,0,2,2,1,4,11,0,1,1,2,5,1,2,26,0,0,1,8,4,7,3,3,3,1,4,2,0,1,0,0,1,20,0,1,0,3,2,8,1,2,3,2,1,4,0,4,34,1
CELL0525,2,1,4,0,1,0,1,2,3,0,1,5,2,0,1,2,1,3,1,2,1,3,2,4,0,3,5,3,2,5,0,0,1,1,0,2,0,3,4,1,0,5,1,1,0,3,1,0,0,5,6,2,3,3,0,0,1,1,2,10,1,1,1,3,3,1,1,0,10,4,5,2,1,8,0,3,4,9,1,2,0,1,1,3,1,1,3,2,3,9,0,12,3,5,0,3,0,1,3,0,5,0,3,4,1,1,10,2,2,0,3,3,1,6,2,5,2,3,1,1
CELL0526,2,1,0,4,3,0,1,29,3,2,11,3,1,0,4,2,22,4,2,1,1,6,8,4,6,4,0,2,0,1,2,4,3,1,0,5,433,2,424,3,0,2,1,3,7,26,279,6,5,6,13,9,0,8,9,4,1,1,2,9,0,14,92,1,7,1,4,4,0,1,11,0,0,0,200,4,0,0,48,3,2,5,1,1,2,51,38,2,4,0,1,1,279,0,0,0,7,2,1,1,3,2,1,0,2,1,0,4,7,428,5,58,32,3,0,20,1,1,11,4
CELL0527,26,8,0,2,5,1,34,3,0,1,0,6,14,0,0,2,0,2,3,1,1,1,1,3,2,0,5,0,0,1,3,0,0,3,0,3,0,2,0,1,11,1,2,3,0,2,2,1,1,6,0,0,4,6,13,0,0,0,4,92,33,1,10,1,2,2,2,1,115,2,1,4,0,12,0,1,0,304,0,4,0,4,2,3,1,5,1,0,8,26,1,15,0,25,2,244,1,1,0,2,3,0,11,83,2,3,96,3,0,0,5,8,1,1,1,55,0,1,14,0
CELL0528,3,5,4,6,4,4,4,8,2,2,5,5,5,2,2,3,2,3,0,1,2,5,3,4,3,5,1,2,2,6,0,6,2,2,2,6,17,10,15,6,0,2,5,3,1,8,1,2,2,6,3,6,8,1,3,1,6,0,3,1,1,5,0,4,1,3,10,3,1,1,3,3,3,0,6,7,28,2,5,3,0,2,5,1,5,1,9,1,6,2,0,3,15,1,2,1,12,2,2,2,0,25,7,2,2,1,3,7,1,1,6,13,2,4,6,1,0,8,0,2
CELL0529,0,1,5,7,2,1,2,0,11,2,28,4,0,2,0,8,55,3,6,3,2,2,2,4,4,3,0,5,1,6,1,5,1,2,2,0,106,2,26,0,0,2,3,6,14,2,2,1,1,4,17,4,2,4,0,10,6,3,4,1,0,17,0,3,4,1,16,1,1,2,11,0,0,0,13,1,60,0,31,1,2,3,4,0,3,5,48,1,2,4,1,1,206,1,1,0,10,1,1,7,1,188,1,0,1,5,0,4,0,6,2,8,20,8,13,1,3,10,2,7
CELL0530,5,4,1,0,1,1,12,17,0,4,3,9,18,1,1,5,0,8,8,2,1,8,2,0,2,4,9,4,0,7,1,1,0,4,3,4,0,1,1,4,21,5,0,2,2,8,7,8,1,4,2,4,2,7,41,0,15,1,6,145,21,5,397,0,8,17,2,0,43,1,1,6,0,30,0,3,0,18,3,3,0,4,1,1,0,1,1,6,7,6,4,17,0,47,0,60,6,1,1,8,14,1,7,8,0,2,52,7,2,0,5,14,0,3,1,103,2,2,20,2
CELL0531,4,5,14,2,1,2,1,6,0,7,5,4,10,0,1,2,2,1,3,3,0,3,7,7,1,5,2,3,5,3,4,1,3,5,2,2,4,3,0,0,1,3,3,1,3,0,0,1,2,7,0,1,40,2,1,4,4,2,2,13,0,2,1,3,6,0,1,4,7,1,3,0,7,0,3,1,100,75,1,3,1,1,2,2,4,4,4,0,1,21,2,4,0,2,2,0,3,0,2,0,1,7,1,12,1,0,2,4,2,1,4,2,2,1,16,1,0,3,3,0
CELL0532,1,8,6,3,1,6,4,3,1,10,3,3,8,0,6,3,1,11,1,0,0,1,3,3,1,4,2,4,1,8,2,1,2,5,1,0,0,3,0,6,3,1,2,1,3,1,1,3,2,1,6,2,2,5,12,2,0,2,1,14,8,7,6,4,3,1,1,2,18,3,5,0,1,0,2,2,2,2,26,2,3,5,6,0,2,4,5,1,1,1,0,2,1,3,1,0,2,4,5,1,4,3,2,1,4,1,1,4,6,6,1,2,0,7,5,2,3,8,3,3
CELL0533,2,1,4,28,1,1,3,15,7,6,3,4,3,3,2,4,22,1,2,0,1,4,7,4,0,4,0,1,1,4,1,23,2,1,1,3,19,6,19,1,0,1,6,3,7,3,4,2,0,4,0,7,0,6,1,12,2,1,3,2,1,1,0,6,3,0,6,4,2,1,4,2,1,3,43,2,5,5,23,3,1,1,3,0,0,24,5,1,3,4,3,1,43,0,1,0,6,1,1,5,2,1,0,1,1,1,0,4,3,55,7,9,20,3,2,2,0,4,11,8
CELL0534,4,12,2,2,1,0,17,0,0,1,1,0,22,1,0,2,0,2,1,3,1,2,5,6,3,2,3,0,1,5,2,0,1,4,0,3,0,3,1,0,13,1,5,0,0,4,0,3,2,2,0,2,226,3,0,0,5,1,1,32,32,0,0,8,3,3,3,4,18,2,3,3,8,0,0,3,20,35,0,2,2,2,1,0,0,2,0,1,1,24,0,2,0,15,12,19,2,0,0,1,1,6,3,9,0,1,1,4,5,0,0,6,0,3,28,1,3,2,3,0
CELL0535,2,1,1,6,8,3,1,10,2,0,1,2,0,1,1,4,8,3,2,1,1,4,3,3,0,2,4,2,2,6,0,4,1,1,0,4,14,8,7,3,0,2,10,0,4,2,22,0,0,5,0,1,4,4,2,0,1,1,3,0,0,2,3,2,6,0,12,3,1,1,4,4,2,2,28,3,2,8,3,2,9,0,3,0,3,50,4,4,3,13,1,7,9,0,0,3,12,2,4,4,7,0,2,7,2,3,1,1,0,37,5,5,11,2,0,4,2,1,11,2
CELL0536,16,2,0,0,2,0,9,28,0,8,0,15,11,0,1,2,0,3,2,2,1,0,2,3,2,5,9,1,0,4,0,3,4,4,0,3,0,3,0,7,29,4,0,1,4,13,10,2,3,1,4,0,0,1,19,0,2,1,3,49,6,3,80,4,4,14,2,1,9,5,0,4,1,16,0,7,0,9,0,6,0,9,1,3,5,3,1,2,5,12,0,20,0,15,0,9,0,3,2,2,4,0,7,13,1,3,31,1,3,0,2,8,0,4,0,16,1,2,10,4
CELL0537,3,25,3,3,13,23,3,9,0,3,5,2,10,1,2,13,1,12,5,1,1,9,5,2,3,2,4,2,8,11,0,6,2,3,1,2,3,10,1,4,9,8,3,2,3,9,0,4,6,7,3,8,288,5,1,4,52,3,6,17,6,4,0,19,3,1,20,6,30,3,5,3,9,1,1,20,149,31,3,6,7,4,4,3,0,2,14,2,7,3,4,6,2,2,63,12,19,7,1,3,3,120,1,1,1,3,2,1,7,0,3,4,1,4,94,3,4,6,3,3
CELL0538,5,0,0,0,0,0,2,5,0,6,2,7,4,2,3,1,0,0,0,0,0,3,3,2,0,1,2,1,0,2,6,0,2,0,0,1,2,2,10,0,8,2,1,3,5,3,2,2,2,1,3,3,0,4,1,1,9,1,5,39,3,2,3,2,4,4,3,2,12,3,0,0,0,4,0,1,3,2,6,0,1,0,3,0,1,1,2,2,4,0,3,0,4,3,0,1,2,0,0,1,1,2,1,0,2,3,9,1,2,0,1,6,2,2,2,9,0,3,1,3
CELL0539,3,18,7,0,21,4,15,0,2,3,2,4,36,1,2,2,0,6,2,2,2,5,8,0,0,8,1,4,2,2,2,0,1,1,0,4,0,2,0,0,32,0,4,3,3,5,0,3,1,5,1,5,63,7,1,2,9,1,2,62,66,0,1,1,9,0,1,1,117,3,0,12,12,2,0,3,1,245,2,4,2,7,0,2,1,3,1,1,5,22,1,11,0,25,3,5,5,6,0,5,8,0,1,5,2,0,12,2,5,0,3,4,0,0,26,14,1,2,3,0
CELL0540,3,2,2,17,0,2,0,16,4,1,5,3,0,0,1,3,31,4,2,3,0,4,3,2,2,0,0,3,2,2,3,5,1,3,1,2,90,2,51,0,0,3,3,1,2,1,7,1,3,1,5,1,2,6,1,8,0,3,1,5,0,3,2,7,6,0,3,1,1,2,4,2,0,0,81,4,5,21,2,5,3,7,1,0,2,33,2,1,2,2,2,2,21,0,0,0,3,9,1,1,1,0,0,2,3,2,1,0,2,4,0,5,14,4,1,0,0,3,57,11
CELL0541,2,22,8,1,1,1,82,0,4,5,16,10,55,1,1,19,0,5,5,2,4,7,3,11,3,10,4,1,4,22,6,0,1,4,0,6,0,9,0,3,172,2,2,7,8,0,0,2,3,5,99,2,85,9,0,5,574,2,5,203,514,11,5,4,7,11,1,2,131,1,0,2,13,8,0,4,29,5,3,1,1,4,5,5,2,0,5,2,7,4,3,4,2,516,445,155,4,1,1,1,5,83,2,4,4,0,14,8,8,0,3,3,0,7,395,7,5,6,0,3
CELL0542,3,3,2,17,3,0,15,2,7,8,7,5,5,1,1,3,5,7,5,0,2,5,12,2,0,2,1,1,0,8,7,0,2,3,2,5,6,2,8,2,3,2,4,2,3,11,10,1,1,2,51,6,0,7,5,11,36,2,8,20,6,31,21,1,1,7,6,2,0,1,5,0,0,0,4,2,1,0,63,5,0,3,1,0,2,2,66,6,7,0,0,4,36,6,1,1,5,2,5,8,6,29,1,1,1,5,4,9,1,0,1,20,1,3,13,24,2,9,0,4
CELL0543,1,4,0,0,1,1,6,39,0,3,1,6,1,1,2,9,1,2,2,2,0,5,10,3,0,2,3,0,0,6,5,2,2,3,1,3,0,1,10,2,3,1,2,3,3,7,2,2,0,3,3,4,1,3,2,0,3,0,2,85,1,1,22,1,2,4,4,4,11,4,5,0,0,8,1,4,0,2,5,2,1,3,3,2,0,0,1,3,2,16,2,5,0,5,0,4,3,1,0,2,3,2,2,6,0,0,10,0,2,0,3,22,2,1,1,20,1,4,9,3
CELL0544,1,7,1,10,7,3,3,4,16,1,4,0,4,4,1,1,0,2,0,0,1,7,3,1,2,2,5,3,3,9,1,0,0,1,1,1,7,2,7,3,1,2,0,2,4,3,0,4,2,4,3,4,33,5,1,1,2,1,2,15,1,1,1,4,11,0,9,0,12,1,4,3,5,0,11,3,7,6,5,0,3,1,2,0,3,7,2,1,1,11,5,12,4,3,1,6,6,0,6,0,2,6,2,8,2,1,4,5,2,3,4,2,3,3,3,4,2,4,5,0
CELL0545,8,4,0,3,9,1,3,25,3,0,8,29,4,1,0,8,0,4,2,4,0,1,5,3,3,5,4,6,0,1,1,0,3,7,1,8,0,5,2,5,24,4,4,8,0,14,9,7,2,3,3,5,8,1,14,0,1,2,7,46,9,0,95,2,4,1,3,3,9,2,0,11,0,4,0,1,0,9,3,3,4,3,5,0,2,2,0,0,4,7,4,25,2,9,1,24,3,1,1,1,4,0,21,8,0,1,8,4,11,0,5,17,2,7,2,25,1,8,14,4
CELL0546,8,2,0,3,0,2,0,9,2,1,1,0,2,0,0,0,3,3,0,4,3,5,1,5,2,12,7,9,3,3,3,2,3,5,2,1,32,0,36,3,1,3,4,2,2,19,5,4,3,7,5,2,0,9,3,0,2,3,8,6,1,0,6,2,7,0,5,4,1,2,0,2,1,0,71,6,3,6,1,4,0,15,3,1,1,178,6,1,1,3,3,14,12,0,0,0,1,0,3,4,0,0,7,11,1,4,2,6,1,19,4,11,10,3,0,4,1,5,278,1
CELL0547,5,8,6,16,1,0,9,19,1,2,5,5,3,1,1,12,2,6,2,1,2,11,6,9,2,2,3,7,5,8,5,5,2,1,1,8,1,4,9,2,1,2,2,3,11,10,1,5,2,8,4,2,41,8,1,1,2,1,1,10,2,3,0,1,5,1,4,2,6,2,0,3,2,2,5,3,4,10,3,4,1,20,1,2,3,4,7,8,4,8,2,1,8,3,3,4,4,8,2,2,7,6,6,3,0,3,7,6,9,2,4,4,9,1,17,4,0,3,6,1
CELL0548,8,3,3,3,1,5,2,10,0,5,0,0,5,2,3,3,0,2,3,1,4,2,1,0,3,2,12,0,0,6,1,0,2,2,0,4,0,4,3,0,1,1,1,4,0,5,2,2,5,5,0,4,28,5,1,0,0,1,3,31,3,0,4,1,2,1,0,2,2,0,1,9,2,7,1,1,1,54,0,1,1,0,2,5,0,23,0,1,4,19,0,30,0,2,0,52,6,0,0,2,3,0,47,26,0,0,22,4,3,0,2,2,1,1,2,11,2,0,50,3
CELL0549,5,1,41,6,0,2,4,3,4,5,9,7,5,3,3,2,31,10,16,1,5,1,9,4,0,11,3,5,2,5,3,6,6,8,5,2,78,4,22,1,5,1,9,5,12,3,1,4,2,2,9,4,2,8,0,24,0,2,5,1,0,12,0,53,5,3,9,3,4,6,33,0,2,1,62,8,417,2,15,5,5,7,11,1,3,4,15,3,7,2,0,0,96,1,1,0,10,1,2,1,1,690,0,2,1,3,1,5,4,13,4,17,19,2,3,0,4,7,8,7
