# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0484,1,1,9,12,15,6,2,3,1,20,5,1,3,4,2,3,1,5,3,8,2,3,20,7,3,13,3,4,3,2,11,5,4,1,0,1,2,4,3,0,13,1,13,1,0,3,1,5,1,2,0,10,3,12,2,1,9,0,0,6,62,3,12,1,13,18,13,0,0,6,2,39,0,2,5,34,2,2,5,6
CELL0485,4,1,9,13,30,0,9,4,12,9,9,3,34,8,20,7,2,4,1,0,3,5,9,23,0,18,13,0,21,3,1,2,37,1,0,11,141,9,3,6,9,15,3,5,11,1,1,3,7,4,6,0,3,9,4,5,4,9,7,3,12,8,14,16,4,6,1,2,0,2,2,0,9,5,1,0,5,13,5,2
CELL0486,7,5,21,39,16,6,6,4,10,24,7,6,5,15,4,9,0,5,4,23,4,0,25,14,2,17,6,3,7,4,19,2,4,4,0,2,3,9,8,0,18,5,35,1,2,10,0,19,7,20,3,15,8,31,4,6,33,2,0,4,138,14,15,2,29,28,18,4,7,6,3,106,2,3,17,78,0,3,5,14
CELL0487,3,2,20,19,11,3,6,1,7,23,6,6,2,10,3,2,3,2,2,12,4,2,19,9,0,12,17,2,2,1,14,4,6,3,0,1,1,5,4,0,14,2,17,1,2,3,0,14,3,13,1,6,7,15,3,7,19,0,0,3,88,12,15,0,29,21,14,2,9,4,2,61,1,2,15,59,1,4,1,11
CELL0488,9,8,6,10,41,0,8,2,5,2,4,5,24,5,21,4,1,10,2,1,4,3,7,31,1,14,13,0,18,4,3,1,28,0,1,15,113,9,0,3,9,8,3,4,10,1,2,1,6,3,3,0,1,10,11,4,2,8,8,3,15,3,15,9,2,2,2,1,0,5,2,0,12,4,0,0,2,15,4,0
CELL0489,3,0,18,16,10,3,3,5,4,16,3,5,1,5,2,2,1,2,5,9,2,4,17,9,2,12,4,1,3,3,7,5,5,2,2,2,2,9,5,0,13,1,27,0,0,1,0,8,3,9,1,17,6,9,1,4,14,0,1,10,73,10,13,1,15,22,16,3,9,2,3,72,0,3,12,49,1,0,3,10
CELL0490,4,8,0,1,14,6,0,16,2,0,0,0,11,5,47,3,4,3,2,16,42,16,3,1,2,6,1,1,0,1,10,2,3,1,3,1,3,7,1,2,11,2,4,7,0,12,11,23,1,2,7,3,17,6,18,3,0,1,15,8,20,18,33,13,20,11,26,0,3,5,6,18,2,0,6,1,25,15,6,14
CELL0491,6,7,12,20,11,6,1,9,7,16,6,7,0,7,1,7,0,2,2,15,3,4,19,10,2,13,11,2,6,4,4,3,3,0,1,4,3,6,7,0,12,1,19,1,3,6,0,7,5,9,1,7,9,24,4,1,28,1,5,3,114,3,19,0,28,26,20,1,1,8,4,69,1,1,11,53,1,3,8,8
CELL0492,4,12,1,2,8,4,1,12,1,4,0,0,8,1,27,1,0,3,2,7,19,10,6,1,1,4,0,1,1,0,13,0,2,3,4,0,3,3,4,11,5,1,1,5,3,4,11,19,5,2,2,2,9,6,27,4,0,2,9,2,18,14,34,8,19,5,21,0,5,11,6,15,2,2,4,0,18,13,3,12
CELL0493,30,29,1,4,5,3,9,2,17,11,0,6,4,0,1,2,8,0,7,1,0,1,1,12,1,0,13,18,1,34,1,15,2,5,1,2,0,2,4,1,15,14,3,1,2,2,7,11,1,10,17,13,10,1,2,0,5,2,14,6,0,4,4,2,7,0,1,1,11,0,8,20,2,1,0,17,2,8,4,0
CELL0494,3,0,3,6,7,2,4,1,6,5,3,5,7,0,5,5,22,7,7,14,5,0,9,2,7,2,26,1,5,10,0,1,0,1,8,2,0,2,2,1,1,3,5,21,4,1,0,4,0,10,25,0,3,5,3,1,8,2,2,11,5,2,5,2,4,6,5,2,1,2,4,1,1,18,23,4,3,3,2,19
CELL0495,2,4,6,4,1,0,3,1,11,8,7,2,10,1,13,1,7,10,10,22,4,3,4,1,2,3,28,3,1,13,0,2,0,3,5,6,0,1,1,2,1,2,3,23,4,2,2,2,1,6,17,0,1,5,0,1,15,3,0,6,2,5,7,6,8,5,13,4,3,5,2,0,2,20,19,3,1,2,4,16
CELL0496,2,1,2,6,3,2,2,0,4,3,6,2,8,2,11,0,5,7,3,15,2,0,8,2,4,3,15,1,2,10,0,0,0,3,9,4,0,3,0,1,0,4,3,15,2,1,0,1,1,9,29,2,1,2,0,0,11,1,1,11,3,3,1,9,5,7,7,5,4,1,1,1,2,11,16,3,2,0,4,15
CELL0497,32,20,2,10,1,8,10,0,19,12,0,10,3,1,0,1,2,1,13,1,0,0,2,10,1,1,9,25,1,33,1,6,6,1,0,1,2,6,4,0,18,10,2,1,3,2,3,11,1,20,10,15,5,2,1,2,2,4,9,6,0,6,3,2,10,1,3,0,9,0,16,17,1,0,4,15,0,8,7,1
CELL0498,2,1,7,7,7,3,2,5,7,6,7,5,12,0,4,2,11,4,7,14,4,0,11,6,4,1,30,4,4,12,0,2,0,1,3,4,0,1,0,0,1,2,1,23,6,3,2,2,0,12,25,1,5,7,0,2,21,2,0,10,2,3,8,11,2,5,16,4,2,3,4,0,6,17,15,1,2,4,1,17
CELL0499,4,11,2,0,6,4,0,4,2,1,0,0,11,1,16,2,2,0,3,7,20,5,1,1,2,4,0,2,0,0,6,1,2,0,1,1,2,1,3,5,3,0,1,0,2,6,11,8,3,0,2,2,7,6,11,0,0,0,11,3,14,9,26,8,11,12,10,0,8,8,4,6,1,0,2,2,17,10,2,4
CELL0500,3,1,6,17,32,0,17,3,10,6,5,2,34,10,26,3,2,2,2,0,3,8,17,32,1,20,9,0,11,5,0,1,38,1,1,16,125,8,2,5,10,5,5,4,10,1,3,5,1,5,4,1,2,5,3,7,2,11,1,4,10,3,16,11,6,2,1,4,0,7,5,0,19,3,0,1,4,20,1,0
CELL0501,2,1,9,13,3,1,6,1,6,7,6,6,11,2,5,1,21,9,8,25,3,0,6,6,4,4,28,5,6,13,1,1,1,3,7,1,0,3,1,1,7,0,4,35,4,2,2,3,0,3,17,2,5,7,3,1,10,2,2,12,4,2,7,6,2,7,22,6,3,5,4,0,2,24,19,2,1,2,4,23
CELL0502,4,0,2,4,1,0,2,1,0,4,5,0,7,2,5,1,10,9,1,10,4,0,3,4,2,6,27,5,3,1,0,1,0,0,5,0,1,1,1,1,0,2,3,17,0,2,0,2,0,11,23,2,2,8,4,1,8,1,3,10,1,1,4,4,3,8,9,3,3,1,1,0,4,12,9,3,3,3,0,12
CELL0503,4,15,1,3,10,1,0,11,3,1,0,2,6,2,35,3,2,3,1,12,31,10,3,3,2,2,2,0,1,2,10,1,3,1,5,1,3,5,5,12,9,1,1,3,1,6,20,18,3,2,4,1,8,7,24,4,1,1,14,2,17,9,30,13,23,12,8,0,5,10,5,9,1,0,6,1,16,13,5,8
CELL0504,4,3,15,14,10,5,2,6,12,15,2,7,3,7,3,6,0,3,7,13,4,2,16,13,2,11,9,4,2,3,9,7,4,1,1,1,5,5,5,0,12,2,20,1,0,3,0,8,5,10,0,3,14,17,1,5,23,2,0,4,76,8,12,1,19,27,18,1,3,5,3,50,0,3,12,53,0,2,3,8
CELL0505,1,1,3,2,11,6,4,0,8,8,6,2,10,1,9,1,13,14,6,10,3,0,8,7,4,2,16,4,1,8,0,1,0,3,8,0,1,0,0,3,2,1,5,12,2,1,3,0,2,5,19,0,1,7,3,1,16,2,0,7,6,2,3,3,1,5,19,4,3,1,1,0,3,15,16,4,0,1,4,15
CELL0506,8,12,1,0,6,4,0,11,5,2,0,1,8,1,25,2,2,6,2,5,31,14,5,0,1,3,1,1,0,1,4,2,3,0,2,0,2,6,3,1,6,1,3,9,0,2,11,10,0,1,2,1,7,8,16,2,1,1,5,6,23,4,31,15,19,8,9,0,4,3,8,10,2,0,4,0,18,14,4,13
CELL0507,5,4,3,15,26,1,7,3,5,9,5,3,26,4,20,1,0,3,1,1,4,0,7,25,1,16,15,0,22,1,1,1,16,0,3,15,92,9,6,5,5,4,3,4,5,1,3,2,4,5,7,1,3,5,7,5,1,4,3,1,4,5,16,9,4,2,3,3,1,4,2,0,10,6,0,0,4,20,0,0
CELL0508,8,3,22,21,14,10,1,2,9,18,3,10,5,10,1,7,1,8,6,16,7,2,26,16,1,7,16,3,7,3,14,2,3,2,0,4,2,7,10,0,14,1,22,1,0,11,1,10,5,10,1,8,2,26,0,3,18,1,2,3,85,9,21,0,24,23,17,1,6,4,3,76,0,2,14,54,0,1,7,6
CELL0509,5,4,17,22,43,0,11,5,18,8,9,5,43,8,20,7,2,8,0,0,7,5,10,47,0,13,20,1,23,4,1,1,48,3,3,25,169,5,6,4,10,5,3,6,8,0,1,2,7,6,3,1,1,10,9,4,6,7,2,3,7,10,15,16,5,3,2,5,0,2,6,0,11,9,1,0,2,29,3,0
CELL0510,4,2,4,4,9,0,2,0,9,3,8,3,16,2,5,0,11,7,14,18,3,1,7,7,8,5,34,4,5,9,0,5,0,3,4,7,2,3,2,2,3,1,2,34,4,5,1,3,0,7,33,1,7,10,2,3,16,4,0,14,8,1,5,8,6,3,21,6,1,3,6,2,3,25,32,4,5,4,1,16
CELL0511,2,5,13,15,36,0,6,1,8,5,5,3,31,7,19,7,0,5,0,0,2,7,10,35,0,13,21,1,21,3,0,0,31,0,0,17,121,6,1,3,9,4,5,1,11,0,0,6,10,6,6,0,1,6,1,5,3,10,5,5,7,4,13,11,2,3,2,1,0,3,1,0,8,4,1,0,2,21,3,0
CELL0512,7,22,1,1,13,5,0,10,2,1,0,0,6,4,39,4,4,2,6,8,34,15,2,0,4,2,2,6,1,5,8,1,1,2,5,0,3,3,2,8,4,2,2,5,2,12,12,20,3,1,2,3,11,8,21,5,0,2,9,4,16,16,25,10,18,4,16,0,8,9,7,17,2,0,3,1,18,14,2,14
CELL0513,3,1,6,4,3,1,1,0,11,7,4,3,15,2,6,1,14,4,7,11,3,0,5,2,1,0,19,2,0,8,0,2,0,3,2,2,0,1,1,0,1,2,4,26,2,1,1,2,1,8,18,0,6,6,4,0,11,0,0,11,1,3,3,5,4,6,13,2,3,2,3,0,1,16,16,0,4,2,3,13
CELL0514,2,2,3,6,2,1,1,1,3,7,10,5,15,0,9,2,12,8,3,10,3,0,6,7,2,4,16,5,4,11,1,5,1,1,5,0,0,5,2,0,3,3,3,30,2,0,2,3,1,7,28,0,1,6,2,1,14,3,1,20,5,3,6,7,3,6,13,4,1,5,4,0,2,17,17,5,1,5,3,22
CELL0515,13,12,0,1,9,2,0,15,3,1,0,0,19,6,43,2,2,2,3,11,34,21,2,1,4,5,1,0,0,2,14,3,4,1,8,1,4,6,8,7,8,2,3,12,3,5,19,20,4,2,3,1,11,11,27,7,3,0,16,4,22,20,27,8,24,15,18,1,2,15,12,18,4,0,6,0,23,15,5,11
CELL0516,1,0,5,1,6,2,1,0,6,4,1,2,4,0,5,0,8,9,4,11,3,0,4,6,2,0,16,5,2,3,1,0,0,0,2,2,0,1,0,1,0,1,0,16,5,1,1,0,2,6,16,0,2,1,1,0,5,0,0,9,0,5,4,1,3,5,6,3,1,6,3,1,1,13,10,4,1,2,2,9
CELL0517,1,5,9,15,40,2,12,2,4,5,7,0,41,9,21,3,4,2,1,0,3,4,13,28,3,17,10,0,15,3,2,0,34,1,2,21,110,7,2,2,12,7,3,5,13,2,2,4,9,11,6,0,0,6,2,7,4,6,4,6,15,5,19,10,3,1,0,5,0,4,1,0,10,5,0,0,5,13,1,2
CELL0518,6,1,22,19,20,9,7,8,7,22,5,5,1,6,9,6,2,2,4,12,2,0,19,11,3,9,10,4,5,0,6,5,3,2,0,2,3,6,5,0,17,1,21,0,1,5,2,7,7,8,0,9,10,24,0,3,26,0,1,7,97,12,16,1,24,27,12,4,8,10,3,70,0,1,9,43,1,4,6,7
CELL0519,4,13,2,1,7,8,0,9,2,0,0,0,10,2,20,3,0,1,3,9,16,7,3,0,1,3,2,3,0,1,3,3,6,0,1,0,2,2,2,10,7,1,0,6,2,6,11,18,1,1,3,0,6,6,17,1,1,1,6,6,15,10,25,12,13,7,13,0,6,4,3,9,1,0,3,1,28,19,4,10
CELL0520,3,2,7,7,28,0,4,2,6,6,3,5,26,4,11,0,1,0,0,0,0,4,8,14,1,10,6,0,11,5,3,0,23,1,0,16,77,11,2,3,9,3,3,3,6,1,1,4,5,3,1,1,0,8,7,0,1,2,4,1,8,2,13,10,2,1,2,0,0,2,4,0,10,3,0,0,1,13,0,0
CELL0521,7,21,1,1,11,12,0,10,4,2,0,0,19,4,40,1,3,2,1,8,39,14,1,1,3,2,1,2,1,2,8,3,6,2,1,1,1,3,3,7,8,1,2,7,1,12,12,27,1,3,1,4,18,7,24,8,1,0,10,9,14,20,25,14,13,12,11,1,7,8,2,10,3,0,5,0,22,12,3,8
CELL0522,8,17,2,3,11,11,0,11,1,0,0,1,7,4,31,7,3,6,9,13,27,10,1,0,3,0,1,2,1,5,11,0,5,3,7,2,1,2,4,4,10,1,2,5,3,9,21,23,4,1,2,1,11,9,25,2,0,1,8,5,18,12,27,18,19,11,17,1,5,4,6,12,2,0,2,1,19,18,5,7
CELL0523,7,2,8,19,41,2,11,0,8,10,13,6,37,9,20,6,1,7,1,0,1,4,12,32,0,20,12,0,18,2,0,2,27,0,2,22,129,4,2,3,6,6,0,0,11,1,1,0,4,5,3,1,3,6,4,6,6,9,7,4,11,3,25,15,1,7,2,2,0,3,3,0,16,1,0,1,6,23,1,0
CELL0524,16,2,0,3,0,4,6,0,10,1,0,2,0,0,0,1,1,2,6,1,0,1,0,3,1,1,8,14,1,19,2,4,1,5,1,0,1,0,4,0,14,8,1,0,3,1,1,6,0,12,12,8,3,1,0,1,3,0,5,3,0,5,1,1,3,1,0,2,4,0,11,12,0,1,0,7,2,3,1,0
CELL0525,0,3,3,2,2,0,2,3,1,8,2,5,10,1,3,2,16,10,4,13,4,0,6,1,2,2,21,2,0,6,0,4,2,0,6,2,0,2,0,1,4,4,1,21,4,0,0,2,2,13,25,0,2,9,3,0,10,1,0,14,6,2,4,8,5,4,10,6,1,2,4,0,4,15,21,5,2,4,6,19
CELL0526,34,33,3,16,3,14,7,0,24,9,1,9,3,2,3,3,9,3,6,1,4,2,0,7,4,1,23,30,1,60,1,17,7,2,2,3,3,6,1,2,22,18,4,0,4,4,8,14,1,23,37,19,10,2,1,1,8,3,15,9,0,18,0,0,7,1,0,3,13,1,17,21,1,1,3,13,1,17,5,3
CELL0527,19,11,0,5,2,9,2,0,13,10,1,2,0,0,1,0,5,4,3,0,0,0,0,3,3,1,11,13,0,25,2,10,1,4,0,1,0,1,5,1,12,13,1,0,2,1,4,9,0,12,14,10,5,0,0,0,5,2,8,7,1,7,2,2,6,0,1,1,7,0,12,12,0,0,3,7,2,8,1,1
CELL0528,1,0,13,25,6,2,2,1,2,14,6,3,2,5,3,3,0,2,1,14,5,0,15,11,1,7,9,1,2,3,7,5,0,1,0,1,2,4,4,0,6,1,10,3,0,6,0,5,2,5,2,9,3,21,0,1,14,2,0,6,60,6,8,1,25,16,14,1,5,7,4,38,2,3,4,27,0,0,1,7
CELL0529,4,5,8,13,29,1,19,2,17,5,7,0,37,6,17,3,1,8,1,0,3,4,10,31,0,17,13,0,15,4,1,1,23,1,3,12,100,10,3,4,11,4,5,3,7,3,1,4,4,10,5,2,5,3,3,3,3,6,5,4,14,5,11,7,2,2,4,3,0,4,0,0,11,2,1,0,4,19,4,1
CELL0530,4,0,13,11,43,1,8,2,7,12,9,3,47,7,25,6,1,5,1,0,1,3,19,24,0,26,16,0,17,4,0,1,30,0,2,24,138,13,1,2,13,7,4,3,11,1,3,4,7,5,4,2,3,6,3,4,2,5,1,2,6,2,18,7,1,2,2,2,0,4,2,0,11,6,0,0,8,21,2,0
CELL0531,4,4,9,11,13,0,1,4,15,7,14,12,14,0,13,1,22,12,6,32,7,1,7,16,3,6,27,5,2,17,0,2,2,3,5,2,2,2,0,1,2,3,2,36,2,2,3,5,1,15,38,2,5,7,6,2,28,2,0,30,8,1,9,11,3,9,17,7,0,1,5,4,6,21,28,5,2,4,4,31
CELL0532,5,2,13,7,8,2,2,1,5,11,3,7,2,6,2,2,1,2,2,6,0,5,18,13,1,2,6,2,3,0,5,1,1,4,0,3,2,3,6,0,9,4,19,1,2,1,1,5,3,6,2,5,10,12,0,0,19,0,0,2,49,6,12,1,16,28,14,1,2,8,0,33,2,2,3,36,1,1,0,9
CELL0533,2,6,11,9,4,0,4,0,9,4,7,6,11,0,7,1,16,6,5,13,1,1,11,9,6,3,29,2,2,19,0,2,1,2,8,4,2,1,0,2,2,4,3,12,1,0,3,2,0,15,30,2,1,9,0,2,12,1,1,19,4,1,10,7,0,9,14,9,2,2,2,0,4,20,15,5,3,7,1,25
CELL0534,3,0,6,5,5,1,3,1,6,9,6,4,9,0,8,3,13,12,15,19,5,1,8,4,4,1,31,5,5,12,2,0,0,4,8,5,0,1,0,1,2,3,1,19,3,3,0,5,2,8,26,0,3,4,3,1,13,4,0,19,9,4,8,5,2,7,11,6,2,6,9,0,2,27,17,3,1,7,2,16
CELL0535,5,0,6,2,3,1,4,1,4,6,6,3,10,0,7,1,10,7,4,18,4,2,4,2,8,2,24,0,5,6,0,2,0,2,3,1,1,1,0,1,1,2,4,18,2,3,1,5,2,9,26,0,3,3,1,2,15,0,0,12,4,2,3,9,2,4,18,5,6,4,3,0,6,20,20,5,4,5,3,20
CELL0536,3,10,2,4,6,5,0,16,5,4,0,2,16,3,25,4,1,3,3,10,34,6,5,0,2,6,1,0,1,7,17,1,13,0,4,1,5,4,3,5,7,0,4,8,3,5,20,20,3,0,7,2,17,11,19,8,0,0,8,9,16,11,43,12,30,15,23,0,5,14,7,12,2,1,0,3,24,24,2,12
CELL0537,1,1,7,3,7,1,0,1,5,5,5,6,5,2,5,1,9,6,2,14,4,0,6,5,5,4,14,1,1,14,0,2,0,0,7,1,3,3,1,1,0,3,4,18,1,4,2,1,0,8,16,0,0,4,4,1,10,1,0,13,1,2,1,4,5,7,12,3,0,2,3,0,3,16,19,5,0,8,1,14
CELL0538,9,5,3,0,5,4,0,9,3,0,0,1,15,0,24,0,2,5,5,9,42,14,1,2,2,3,2,2,1,1,7,2,3,0,3,0,4,4,2,8,11,2,2,2,1,13,18,18,2,1,3,1,4,9,18,1,0,0,11,5,22,21,28,7,21,13,16,2,7,6,5,15,2,1,3,1,21,10,2,11
CELL0539,6,4,21,27,19,9,3,7,8,23,8,11,2,5,4,7,0,3,5,17,5,3,23,22,3,15,16,5,5,2,15,5,8,1,0,3,2,10,11,1,23,4,25,1,2,4,0,12,6,15,0,15,10,25,2,7,20,1,2,9,136,15,26,3,31,31,22,3,11,4,5,83,2,3,13,64,2,3,11,6
CELL0540,11,3,14,19,57,1,11,4,14,5,15,5,48,9,29,9,3,10,0,0,5,8,15,41,3,25,14,0,32,4,0,2,39,1,2,34,141,13,6,4,10,10,7,6,9,6,2,5,13,13,6,1,2,8,7,8,4,9,4,7,10,12,21,15,4,3,6,7,0,8,2,0,12,7,2,0,8,32,3,1
CELL0541,1,2,8,5,7,1,5,0,6,11,7,7,8,2,13,2,19,21,3,20,9,1,10,1,5,9,37,4,3,16,0,2,2,4,8,5,2,4,0,1,1,2,7,41,4,3,6,9,3,17,40,2,4,12,3,2,23,5,1,21,3,2,7,9,5,10,15,9,3,5,7,1,5,29,29,7,2,3,5,20
CELL0542,1,1,15,22,14,4,5,8,8,17,4,6,3,6,5,6,1,4,6,12,2,3,21,11,0,8,8,5,1,4,10,5,9,2,0,2,1,11,3,1,9,1,12,1,0,4,0,11,8,9,1,10,6,17,4,4,18,2,0,5,100,7,12,1,29,26,20,3,4,6,2,91,3,3,10,55,0,4,3,8
CELL0543,6,5,21,30,22,7,5,10,8,27,5,6,1,7,12,4,2,5,6,25,4,2,26,22,2,12,10,2,4,3,9,4,9,5,1,4,5,5,8,0,14,2,29,3,1,7,3,9,3,13,3,15,12,33,0,6,32,0,1,10,123,8,25,3,39,36,22,3,9,2,2,86,3,1,7,64,1,5,12,14
CELL0544,7,2,12,12,38,0,6,4,8,13,7,5,46,6,15,5,0,4,1,3,3,8,13,41,0,24,10,0,24,3,2,2,38,0,5,20,123,3,1,5,11,7,4,6,8,0,2,5,11,2,7,1,0,7,4,2,2,8,2,3,16,14,9,8,8,8,3,2,0,2,2,0,7,1,1,0,3,26,6,0
CELL0545,1,5,14,24,9,4,7,5,5,17,3,4,2,11,2,3,0,4,6,15,3,2,33,10,2,3,7,4,12,2,9,4,9,1,0,0,3,5,6,0,10,5,18,1,1,6,0,8,4,8,4,12,8,19,2,3,22,2,1,3,104,6,15,1,22,21,10,3,8,6,4,65,0,4,13,55,2,3,4,10
CELL0546,7,15,1,2,12,5,2,14,1,2,0,1,13,4,43,2,1,4,7,18,43,15,3,2,1,3,3,1,0,5,11,3,1,1,4,1,2,5,4,12,8,3,3,7,1,8,26,25,3,2,1,3,14,10,22,4,0,1,17,9,20,13,23,18,13,19,22,0,7,11,8,13,2,0,4,0,26,19,1,11
CELL0547,25,11,1,9,2,8,2,0,14,6,0,6,4,1,1,3,8,1,8,0,0,1,0,8,1,5,10,23,2,21,0,10,1,5,1,1,2,1,2,2,23,5,0,0,5,2,4,18,0,6,20,14,3,1,2,0,3,1,6,2,0,4,0,7,5,0,3,1,10,1,9,16,0,1,2,8,2,9,3,3
CELL0548,3,1,7,1,2,2,0,0,6,8,6,0,11,1,8,0,13,11,2,13,6,0,10,4,5,3,27,5,4,13,0,2,0,0,3,3,2,5,0,1,3,4,2,27,4,3,4,7,1,15,33,1,5,16,2,1,19,1,1,11,3,2,1,6,2,6,11,8,2,2,0,1,1,22,24,8,2,4,3,12
CELL0549,4,7,19,25,8,4,2,2,4,20,7,5,3,9,9,4,4,5,3,15,1,1,29,14,1,13,9,6,6,4,10,4,7,7,2,0,2,2,6,0,12,1,22,1,0,9,3,12,10,7,2,20,7,29,3,5,26,2,0,7,105,12,15,2,20,30,20,4,3,6,3,87,0,2,9,48,0,1,7,8
CELL0550,19,22,1,4,6,7,5,1,14,4,2,6,3,2,0,7,3,0,10,0,1,0,1,8,2,1,9,12,1,24,1,12,1,3,2,4,1,5,6,0,14,15,0,0,3,2,0,8,0,11,17,11,4,1,1,1,2,2,5,2,1,4,1,2,4,1,3,1,4,0,4,7,0,4,0,16,0,8,2,1
CELL0551,4,2,9,14,30,1,11,2,8,8,5,3,33,2,17,1,0,2,1,0,1,3,13,29,1,10,12,0,6,3,3,1,24,3,0,13,93,6,1,1,5,8,4,2,3,0,1,2,7,5,5,2,1,10,3,0,3,9,1,3,6,4,7,8,1,4,2,3,0,1,1,0,14,3,2,1,3,16,1,1
CELL0552,8,6,22,19,16,12,3,4,9,20,4,5,1,7,6,13,0,6,2,15,2,2,20,11,3,11,8,1,4,2,18,7,4,1,0,3,4,7,8,1,14,1,24,4,0,6,2,12,10,11,2,13,8,28,2,1,16,2,1,5,104,9,15,0,32,21,34,0,6,9,3,83,2,0,12,59,0,0,2,11
CELL0553,2,1,0,5,2,2,1,5,5,7,9,4,5,1,5,1,7,2,3,10,3,0,4,6,2,4,20,0,2,9,0,0,1,5,2,1,1,1,0,0,1,1,2,12,2,1,2,3,2,6,16,1,0,2,2,1,6,1,2,12,3,1,2,2,4,6,10,1,1,2,0,0,2,9,14,3,1,3,2,10
CELL0554,7,2,7,8,7,1,5,2,7,5,6,7,10,3,10,2,17,11,10,20,9,0,5,7,7,5,34,4,5,6,0,4,0,3,12,6,2,1,0,1,2,3,5,35,3,3,1,2,2,8,37,0,4,9,0,1,16,1,0,22,4,2,10,6,2,15,18,6,5,7,3,2,2,24,28,7,5,5,2,26
CELL0555,6,8,23,24,26,7,3,3,2,20,5,14,3,3,5,4,1,7,3,13,5,1,28,9,1,11,17,1,2,3,14,4,9,4,1,2,3,7,7,1,18,4,25,1,1,4,0,10,5,10,3,10,4,24,1,5,28,2,1,9,104,10,21,1,31,33,27,1,6,5,1,70,1,1,9,58,2,5,4,12
CELL0556,6,4,9,12,10,5,1,1,5,12,3,7,5,4,4,5,1,5,3,10,1,2,16,2,1,4,8,2,5,3,7,5,4,1,0,1,0,1,0,0,6,0,23,1,1,2,0,5,1,6,1,6,4,14,1,3,22,0,1,1,82,10,13,2,25,24,9,0,4,3,0,46,2,0,8,37,0,2,1,7
CELL0557,8,5,9,21,53,0,13,2,11,11,8,4,46,7,19,6,0,6,2,1,2,5,16,41,2,17,9,1,17,5,1,0,46,2,0,22,150,10,3,3,12,6,5,3,11,1,3,3,6,4,4,2,3,2,7,7,5,4,3,6,16,7,13,19,1,2,5,5,0,5,2,0,11,4,1,0,7,24,3,1
CELL0558,21,17,0,4,1,12,12,0,12,6,1,1,2,0,1,1,8,0,15,1,1,2,1,2,1,2,8,17,0,28,0,8,1,1,0,3,4,2,3,0,14,16,0,0,2,4,3,13,1,14,11,11,1,2,2,0,4,3,11,4,0,6,1,1,7,0,2,5,6,0,9,17,0,3,3,13,1,8,2,2
CELL0559,3,2,5,5,5,1,1,1,3,9,6,3,9,1,10,4,21,8,8,27,9,1,6,8,6,2,26,2,4,10,1,2,2,1,8,3,0,2,0,3,1,3,3,31,2,2,4,5,3,11,37,3,5,10,2,3,11,2,0,23,8,2,9,3,5,7,22,3,1,2,3,1,2,19,28,7,4,3,2,22
CELL0560,6,6,25,28,31,6,4,3,8,26,7,6,5,8,6,10,3,3,4,18,3,3,39,12,2,9,11,5,5,0,8,5,5,4,1,8,1,7,8,1,14,6,32,2,1,9,1,13,3,15,1,18,15,40,2,6,40,0,3,11,121,12,30,0,39,31,23,1,10,6,2,89,0,3,19,63,0,5,4,10
CELL0561,36,27,2,12,5,15,10,0,13,9,1,8,2,3,2,3,4,1,8,1,1,0,0,10,6,1,16,14,1,39,4,13,8,4,1,3,1,4,12,4,31,14,0,0,4,8,6,14,1,21,32,21,1,6,1,1,3,3,16,6,3,11,1,2,9,0,1,7,14,3,17,25,1,3,5,28,0,10,8,4
CELL0562,6,11,2,3,11,6,1,15,3,2,1,0,5,3,32,2,1,1,5,5,33,11,2,1,4,2,0,0,0,4,9,2,4,1,1,1,1,2,6,7,6,0,2,7,0,10,22,25,2,1,4,0,15,9,13,5,1,2,16,3,27,22,33,13,20,11,9,1,8,14,5,11,0,2,2,1,23,13,3,11
CELL0563,33,21,2,14,1,17,8,0,32,6,0,9,1,2,3,1,9,1,11,2,4,2,0,7,1,1,14,35,1,54,2,14,10,2,2,3,1,4,3,2,23,25,1,3,3,3,4,10,1,24,26,17,9,4,1,4,6,1,20,4,0,12,1,1,7,3,3,0,16,0,15,25,0,0,3,14,1,16,2,4
CELL0564,4,5,10,8,9,1,3,2,7,11,11,9,18,1,14,2,18,10,8,28,5,0,7,5,7,4,37,3,4,13,1,3,0,2,8,4,0,2,0,1,2,5,7,19,5,4,6,4,2,9,33,0,5,7,3,2,25,3,0,13,9,3,7,9,3,11,27,7,3,2,2,0,4,22,28,6,2,6,2,10
